Time (ms);Barometer (Pa);Lon (° dec);Lat (° dec);Alt (m ASL)
1051201;154690;-8.2891541;39.3901520;172
1053601;154740;-8.2891531;39.3901520;0
1056002;154790;-8.2891531;39.3901520;0
1058401;154850;-8.2891512;39.3901520;171
1060801;154880;-8.2891502;39.3901520;172
1063201;154940;-8.2891493;39.3901482;172
1065601;154980;-8.2891474;39.3901482;172
1068002;155030;-8.2891474;39.3901482;172
1070401;155090;-8.2891474;39.3901482;172
1072801;155120;-8.2891474;39.3901482;172
1075201;155190;-8.2891474;39.3901482;172
1077601;155210;-8.2891483;39.3901482;0
1080002;155290;-8.2891493;39.3901443;171
1082401;155340;-8.2891502;39.3901482;171
1084801;155370;-8.2891512;39.3901482;171
1087201;155430;-8.2891531;39.3901482;171
1089601;155470;-8.2891541;39.3901520;171
1092002;155520;-8.2891541;39.3901520;171
1094401;155590;-8.2891541;39.3901482;171
1096801;155610;-8.2891550;39.3901520;171
1099201;155660;-8.2891569;39.3901482;171
1101601;155710;-8.2891569;39.3901482;171
1104002;155780;-8.2891588;39.3901482;171
1106401;155810;-8.2891598;39.3901482;171
1111201;155910;-8.2891617;39.3901443;172
1113601;155940;-8.2891598;39.3901405;0
1116002;156000;-8.2891598;39.3901405;172
1118401;156030;-8.2891598;39.3901405;172
1120801;156090;-8.2891598;39.3901405;172
1123201;156130;-8.2891598;39.3901405;172
1125601;156170;-8.2891598;39.3901405;172
1128002;156210;-8.2891607;39.3901405;0
1130401;156250;-8.2891607;39.3901405;172
1132801;156310;-8.2891617;39.3901443;172
1135201;156360;-8.2891626;39.3901443;172
1137601;156400;-8.2891636;39.3901443;171
1140002;156440;-8.2891645;39.3901443;171
1142401;156490;-8.2891645;39.3901405;171
1144801;156550;-8.2891655;39.3901405;171
1147201;156600;-8.2891665;39.3901405;0
1149601;156640;-8.2891655;39.3901405;171
1152002;156680;-8.2891655;39.3901405;171
1154401;156730;-8.2891655;39.3901367;171
1156801;156770;-8.2891655;39.3901367;171
1159201;156840;-8.2891645;39.3901367;171
1161601;156880;-8.2891636;39.3901367;171
1164002;156920;-8.2891617;39.3901367;171
1166401;156990;-8.2891607;39.3901329;171
1168801;157060;-8.2891607;39.3901329;171
1171201;157090;-8.2891607;39.3901367;171
1173601;157120;-8.2891617;39.3901367;171
1176002;157170;-8.2891617;39.3901367;171
1178401;157230;-8.2891607;39.3901367;0
1180801;157280;-8.2891598;39.3901367;172
1183201;157310;-8.2891588;39.3901367;0
1185601;157360;-8.2891569;39.3901367;172
1188002;157410;-8.2891541;39.3901367;172
1190401;157440;-8.2891512;39.3901367;172
1192801;157500;-8.2891502;39.3901367;172
1195201;157550;-8.2891502;39.3901367;172
1197601;157580;-8.2891502;39.3901329;172
1200002;157630;-8.2891493;39.3901329;172
1202401;157670;-8.2891483;39.3901291;173
1204801;157710;-8.2891483;39.3901291;173
1207201;157770;-8.2891474;39.3901291;173
1209601;157810;-8.2891483;39.3901291;173
1212002;157880;-8.2891502;39.3901291;173
1214401;157910;-8.2891512;39.3901291;172
1216801;157960;-8.2891531;39.3901291;172
1219201;158020;-8.2891550;39.3901291;0
1221601;158060;-8.2891569;39.3901291;172
1224002;158100;-8.2891569;39.3901291;172
1226401;158140;-8.2891579;39.3901291;171
1228801;158180;-8.2891569;39.3901291;171
1231201;158230;-8.2891579;39.3901291;171
1233601;158250;-8.2891569;39.3901291;171
1236002;158300;-8.2891579;39.3901253;171
1238401;158340;-8.2891588;39.3901253;171
1240801;158360;-8.2891598;39.3901253;171
1243201;158440;-8.2891617;39.3901291;170
1245601;158470;-8.2891617;39.3901291;171
1248002;158530;-8.2891626;39.3901291;171
1250401;158560;-8.2891626;39.3901329;170
1252801;158610;-8.2891626;39.3901329;170
1255201;158650;-8.2891636;39.3901329;0
1257601;158690;-8.2891645;39.3901329;170
1260002;158710;-8.2891645;39.3901329;169
1262401;158780;-8.2891655;39.3901367;169
1264801;158810;-8.2891665;39.3901367;169
1267201;158850;-8.2891665;39.3901367;169
1269601;158870;-8.2891665;39.3901405;169
1272002;158950;-8.2891665;39.3901405;169
1274401;158960;-8.2891655;39.3901443;169
1276801;159000;-8.2891665;39.3901443;169
1279201;159040;-8.2891665;39.3901443;169
1281601;159080;-8.2891665;39.3901443;169
1284002;159110;-8.2891674;39.3901443;169
1286401;159150;-8.2891665;39.3901443;169
1288801;159180;-8.2891665;39.3901443;169
1291201;159240;-8.2891665;39.3901405;0
1293601;159260;-8.2891665;39.3901405;169
1296002;159310;-8.2891665;39.3901405;169
1298401;159360;-8.2891655;39.3901405;169
1300801;159400;-8.2891665;39.3901405;169
1303201;159450;-8.2891655;39.3901405;169
1305601;159470;-8.2891655;39.3901405;169
1310401;159560;-8.2891636;39.3901405;169
1312801;159610;-8.2891636;39.3901405;169
1315201;159660;-8.2891617;39.3901405;169
1317601;159690;-8.2891617;39.3901405;169
1320002;159730;-8.2891607;39.3901443;169
1322401;159770;-8.2891607;39.3901443;169
1324801;159810;-8.2891607;39.3901443;169
1327201;159860;-8.2891607;39.3901443;0
1329601;159890;-8.2891617;39.3901443;169
1332002;159920;-8.2891617;39.3901482;169
1334401;159980;-8.2891617;39.3901482;169
1338002;160030;-8.2891645;39.3901482;169
1340401;160080;-8.2891655;39.3901482;169
1342801;160080;-8.2891665;39.3901482;169
1345201;160130;-8.2891665;39.3901520;0
1347601;160160;-8.2891665;39.3901520;169
1350002;160190;-8.2891665;39.3901520;169
1352401;160250;-8.2891665;39.3901520;169
1354801;160280;-8.2891665;39.3901520;169
1357201;160310;-8.2891665;39.3901520;169
1359601;160360;-8.2891674;39.3901520;169
1365601;160460;-8.2891703;39.3901482;168
1368002;160470;-8.2891712;39.3901482;168
1370401;160510;-8.2891712;39.3901482;169
1372801;160540;-8.2891712;39.3901482;169
1375201;160570;-8.2891703;39.3901520;170
1377601;160610;-8.2891703;39.3901520;170
1380002;160650;-8.2891712;39.3901520;169
1382401;160670;-8.2891722;39.3901520;0
1384801;160740;-8.2891731;39.3901520;168
1387201;160740;-8.2891731;39.3901558;169
1390801;160840;-8.2891731;39.3901558;168
1393201;160850;-8.2891712;39.3901558;169
1395601;160870;-8.2891722;39.3901558;169
1398002;160920;-8.2891731;39.3901558;169
1401601;160960;-8.2891731;39.3901558;169
1404002;160990;-8.2891731;39.3901558;169
1406401;161030;-8.2891712;39.3901558;169
1408801;161060;-8.2891712;39.3901558;170
1411201;161100;-8.2891712;39.3901558;170
1413601;161120;-8.2891703;39.3901520;170
1416002;161150;-8.2891703;39.3901520;171
1418401;161190;-8.2891693;39.3901520;172
1420801;161240;-8.2891684;39.3901520;172
1423201;161240;-8.2891674;39.3901520;173
1425601;161270;-8.2891665;39.3901520;172
1428002;161310;-8.2891665;39.3901520;172
1435201;161420;-8.2891665;39.3901520;170
1437601;161460;-8.2891665;39.3901520;0
1442401;161520;-8.2891684;39.3901520;171
1444801;161540;-8.2891684;39.3901520;172
1447201;161600;-8.2891693;39.3901520;172
1452002;161660;-8.2891684;39.3901520;171
1456801;161720;-8.2891674;39.3901558;170
1459201;161760;-8.2891674;39.3901596;170
1461601;161790;-8.2891674;39.3901596;170
1464002;161840;-8.2891674;39.3901596;170
1466401;161870;-8.2891674;39.3901596;171
1468801;161910;-8.2891684;39.3901596;171
1471201;161920;-8.2891684;39.3901634;170
1473601;161980;-8.2891674;39.3901634;170
1476002;162020;-8.2891674;39.3901634;169
1478401;162050;-8.2891665;39.3901634;169
1480801;162080;-8.2891665;39.3901634;169
1483201;162120;-8.2891665;39.3901634;169
1485601;162170;-8.2891665;39.3901596;168
1488002;162210;-8.2891665;39.3901596;168
1490401;162230;-8.2891655;39.3901596;168
1492801;162280;-8.2891655;39.3901558;0
1495201;162320;-8.2891655;39.3901558;168
1497601;162360;-8.2891645;39.3901558;168
1500002;162400;-8.2891645;39.3901558;169
1502401;162440;-8.2891645;39.3901558;169
1504801;162450;-8.2891645;39.3901558;169
1507201;162510;-8.2891636;39.3901558;169
1509601;162550;-8.2891636;39.3901558;169
1512002;162590;-8.2891645;39.3901558;169
1514401;162640;-8.2891645;39.3901520;169
1516801;162660;-8.2891645;39.3901520;169
1519201;162710;-8.2891645;39.3901520;168
1521601;162750;-8.2891645;39.3901520;169
1524002;162760;-8.2891645;39.3901558;169
1526401;162810;-8.2891645;39.3901558;169
1528801;162840;-8.2891645;39.3901558;0
1531201;162880;-8.2891645;39.3901558;170
1533601;162920;-8.2891636;39.3901558;169
1536002;162970;-8.2891626;39.3901596;169
1538401;163000;-8.2891617;39.3901596;168
1540801;163020;-8.2891607;39.3901596;168
1543201;163070;-8.2891588;39.3901558;168
1548002;163150;-8.2891588;39.3901558;167
1550401;163190;-8.2891588;39.3901558;167
1552801;163220;-8.2891579;39.3901558;167
1555201;163260;-8.2891569;39.3901558;167
1557601;163280;-8.2891560;39.3901558;167
1560002;163350;-8.2891550;39.3901558;167
1562401;163390;-8.2891550;39.3901558;167
1564801;163400;-8.2891560;39.3901558;167
1567201;163440;-8.2891560;39.3901558;167
1569601;163470;-8.2891560;39.3901558;167
1572002;163530;-8.2891569;39.3901558;167
1574401;163550;-8.2891569;39.3901558;168
1576801;163590;-8.2891560;39.3901558;168
1579201;163610;-8.2891541;39.3901558;168
1581601;163650;-8.2891541;39.3901558;169
1586401;163720;-8.2891550;39.3901520;169
1588801;163740;-8.2891550;39.3901520;169
1591201;163780;-8.2891550;39.3901520;169
1593601;163830;-8.2891541;39.3901520;169
1596002;163870;-8.2891541;39.3901520;169
1598401;163900;-8.2891541;39.3901520;169
1600801;163940;-8.2891550;39.3901558;168
1603201;163990;-8.2891560;39.3901596;168
1605601;164010;-8.2891579;39.3901596;168
1608002;164040;-8.2891588;39.3901634;168
1610401;164080;-8.2891588;39.3901634;167
1612801;164090;-8.2891607;39.3901634;167
1615201;164130;-8.2891607;39.3901634;167
1617601;164160;-8.2891607;39.3901672;166
1620002;164200;-8.2891607;39.3901672;166
1622401;164210;-8.2891607;39.3901672;0
1626002;164250;-8.2891617;39.3901634;165
1628401;164290;-8.2891617;39.3901634;165
1630801;164310;-8.2891617;39.3901634;165
1633201;164350;-8.2891617;39.3901634;165
1635601;164370;-8.2891617;39.3901634;165
1638002;164420;-8.2891617;39.3901634;166
1640401;164420;-8.2891636;39.3901672;166
1642801;164420;-8.2891655;39.3901672;166
1645201;164470;-8.2891665;39.3901711;167
1647601;164500;-8.2891674;39.3901711;167
1650002;164520;-8.2891684;39.3901711;168
1652401;164550;-8.2891684;39.3901711;168
1654801;164560;-8.2891684;39.3901711;168
1657201;164590;-8.2891674;39.3901672;169
1659601;164620;-8.2891674;39.3901672;0
